date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,location,source_url,vaccine
2020-12-14,5,5,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-15,727,727,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-16,3025,3025,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-17,7277,7277,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-18,11294,11294,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-19,12365,12365,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-20,13226,13226,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-21,21071,21071,0,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-22,26860,26859,1,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-23,35545,35544,1,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-24,45743,45742,1,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-25,48790,48789,1,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-26,48806,48805,1,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-27,52417,52416,1,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-28,59039,59038,1,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,72055,72053,2,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,85495,85493,2,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,98440,98438,2,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,105401,105398,3,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,110045,110042,3,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,115253,115250,3,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,138855,138852,3,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,156680,156674,6,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,184768,184321,447,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,221908,220485,1423,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,263775,261082,2693,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,299984,296049,3935,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,323492,319541,3951,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,361835,357873,3962,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,393046,387531,5515,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,423359,410074,13285,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,465999,449644,16355,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,515472,496060,19412,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,553354,532758,20596,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,581949,560095,21854,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,623244,600655,22589,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,662629,637790,24839,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,705970,667979,37991,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,749064,705273,43791,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,787090,736964,50126,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,814574,760066,54508,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,829250,772083,57167,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,852699,787295,65404,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,882356,808733,73623,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,905474,822301,83173,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,930492,837380,93112,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,952268,849714,102554,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,967422,856356,111066,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,972594,858973,113621,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,990906,872702,118204,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,1002521,879383,123138,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,1016188,883697,132491,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,1035765,890719,145046,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,1059337,900966,158371,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,1080951,908817,172134,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,1094806,914880,179926,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,1116223,925346,190877,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,1143028,934792,208236,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,1172952,944479,228473,0,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,1206681,957126,249552,3,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,1244157,971179,272973,5,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,1278190,983849,294336,5,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,1294426,986204,308217,5,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,1305077,987923,317149,5,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-16,1331034,996470,334559,5,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-17,1352489,1001406,351078,5,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-18,1380029,1009187,370837,5,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-19,1430524,1034966,395551,7,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-20,1482353,1069009,413333,11,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-21,1523659,1097787,425860,12,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-22,1585884,1127795,458076,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-23,1635533,1158551,476969,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-24,1682109,1190363,491733,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-25,1740974,1232110,508851,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-26,1809387,1287648,521726,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-27,1871722,1341884,529825,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-28,1917684,1382127,535544,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-01,1977468,1428475,548980,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-02,2053026,1493345,559668,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-03,2128238,1561467,566758,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-04,2207955,1635927,572015,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-05,2294555,1718962,575580,13,Canada,https://covid19tracker.ca/vaccinationtracker.html,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
